minutes,tags,accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30,tags
4.42 AM,1,-3.2988646,8.40974675,-4.065738483,-3.22006,8.4392,-4.06518,-1.57053,9.50936,-2.24327,-4.94621,7.61084,-5.83921,0.210492386,0.041492568,0.102700972,-3.2988646,8.40974675,-4.065738483,-3.22006,8.4392,-4.06518,-1.57053,9.50936,-2.24327,-4.94621,7.61084,-5.83921,0.210492386,0.041492568,0.102700972,-3.2988646,8.40974675,-4.065738483,-3.22006,8.4392,-4.06518,-1.57053,9.50936,-2.24327,-4.94621,7.61084,-5.83921,0.210492386,0.041492568,0.102700972,-3.2988646,8.40974675,-4.065738483,-3.22006,8.4392,-4.06518,-1.57053,9.50936,-2.24327,-4.94621,7.61084,-5.83921,0.210492386,0.041492568,0.102700972,-3.2988646,8.40974675,-4.065738483,-3.22006,8.4392,-4.06518,-1.57053,9.50936,-2.24327,-4.94621,7.61084,-5.83921,0.210492386,0.041492568,0.102700972,
4.43 AM,1,-3.129881011,8.752079183,-2.608853319,-3.34456,8.64748,-3.33139,2.88489,11.8652,8.92281,-7.48635,4.97015,-5.32687,1.578416086,0.375523094,3.847160377,-3.214372805,8.580912967,-3.337295901,-3.26555,8.5182,-3.8545,2.88489,11.8652,8.92281,-7.48635,4.97015,-5.83921,0.901593099,0.237805705,2.50555927,-3.214372805,8.580912967,-3.337295901,-3.26555,8.5182,-3.8545,2.88489,11.8652,8.92281,-7.48635,4.97015,-5.83921,0.901593099,0.237805705,2.50555927,-3.214372805,8.580912967,-3.337295901,-3.26555,8.5182,-3.8545,2.88489,11.8652,8.92281,-7.48635,4.97015,-5.83921,0.901593099,0.237805705,2.50555927,-3.214372805,8.580912967,-3.337295901,-3.26555,8.5182,-3.8545,2.88489,11.8652,8.92281,-7.48635,4.97015,-5.83921,0.901593099,0.237805705,2.50555927,
4.44 AM,1,-3.755447044,7.3752967,5.147619375,-3.74916,7.29243,5.28617,5.90145,9.94509,9.56442,-5.08267,3.76831,0.955245,0.762816116,0.192472981,0.655381688,-3.394730885,8.179040878,-0.508990809,-3.510945,8.40329,-3.30625,5.90145,11.8652,9.56442,-7.48635,3.76831,-5.83921,0.920392178,0.545697148,17.8874528,-3.394730885,8.179040878,-0.508990809,-3.510945,8.40329,-3.30625,5.90145,11.8652,9.56442,-7.48635,3.76831,-5.83921,0.920392178,0.545697148,17.8874528,-3.394730885,8.179040878,-0.508990809,-3.510945,8.40329,-3.30625,5.90145,11.8652,9.56442,-7.48635,3.76831,-5.83921,0.920392178,0.545697148,17.8874528,-3.394730885,8.179040878,-0.508990809,-3.510945,8.40329,-3.30625,5.90145,11.8652,9.56442,-7.48635,3.76831,-5.83921,0.920392178,0.545697148,17.8874528,
4.45 AM,1,-2.033834836,7.332358387,5.716828533,-2.378535,7.81194,5.45855,7.56056,11.1158,12.1596,-6.21508,-3.79943,1.49631,2.487108663,2.50005264,2.249374478,-3.054506873,7.967370255,1.047464026,-3.28949,8.13874,2.81187,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.83921,1.659328435,1.168699379,21.24558818,-3.054506873,7.967370255,1.047464026,-3.28949,8.13874,2.81187,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.83921,1.659328435,1.168699379,21.24558818,-3.054506873,7.967370255,1.047464026,-3.28949,8.13874,2.81187,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.83921,1.659328435,1.168699379,21.24558818,-3.054506873,7.967370255,1.047464026,-3.28949,8.13874,2.81187,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.83921,1.659328435,1.168699379,21.24558818,
4.46 AM,1,-1.750381559,7.685663717,5.557150057,-2.42762,7.422905,5.91342,4.39078,11.3289,11.1254,-6.00201,2.43001,-1.06059,1.663431478,1.085678383,1.796936781,-2.79368181,7.911028947,1.949401233,-3.03811,8.00347,4.721165,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.83921,1.932267897,1.164792551,20.6098208,-2.79368181,7.911028947,1.949401233,-3.03811,8.00347,4.721165,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.83921,1.932267897,1.164792551,20.6098208,-2.79368181,7.911028947,1.949401233,-3.03811,8.00347,4.721165,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.83921,1.932267897,1.164792551,20.6098208,-2.79368181,7.911028947,1.949401233,-3.03811,8.00347,4.721165,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.83921,1.932267897,1.164792551,20.6098208,
4.47 AM,1,-0.122087052,8.540604333,4.8904694,-0.172375,8.513415,4.94142,3.14106,9.90678,6.54307,-2.33664,7.67069,1.06537,0.438608461,0.136680428,0.538086379,-2.1583263,7.937200464,3.740642809,-2.469515,8.021425,5.16168,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.32687,2.950656269,1.212674319,11.98194673,-2.348416017,8.015958178,2.43957926,-2.59281,8.20697,4.806155,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.83921,2.67463279,1.048491248,18.46590422,-2.348416017,8.015958178,2.43957926,-2.59281,8.20697,4.806155,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.83921,2.67463279,1.048491248,18.46590422,-2.348416017,8.015958178,2.43957926,-2.59281,8.20697,4.806155,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.83921,2.67463279,1.048491248,18.46590422,
4.48 AM,1,0.007254056,8.125144267,5.447871433,-0.18674,8.05734,5.69197,4.50809,9.52612,7.16793,-2.72927,7.0195,2.07568,1.612823606,0.180207005,0.693105797,-1.530899287,7.811813481,5.35198776,-1.279645,7.85983,5.45615,7.56056,11.3289,12.1596,-6.21508,-3.79943,-1.06059,3.31303706,1.032148315,1.274408959,-2.011891721,8.031556191,2.869335285,-2.46592,8.14712,4.983315,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.83921,3.202437375,0.92591043,17.03507446,-2.011891721,8.031556191,2.869335285,-2.46592,8.14712,4.983315,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.83921,3.202437375,0.92591043,17.03507446,-2.011891721,8.031556191,2.869335285,-2.46592,8.14712,4.983315,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.83921,3.202437375,0.92591043,17.03507446,
4.49 AM,1,-0.101972674,8.28401665,5.320297767,-0.475229,8.22612,5.356795,3.29189,8.8845,7.23497,-1.786,7.45522,2.28158,0.703305429,0.072790522,0.362517683,-0.800204413,7.993557471,5.386523438,-0.754141,8.09205,5.48967,7.56056,11.3289,12.1596,-6.21508,-3.79943,-1.06059,2.185863633,0.981666732,1.206491008,-1.77315184,8.063113748,3.175705595,-2.27679,8.17585,5.08028,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.83921,3.289022997,0.826241598,15.60804423,-1.77315184,8.063113748,3.175705595,-2.27679,8.17585,5.08028,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.83921,3.289022997,0.826241598,15.60804423,-1.77315184,8.063113748,3.175705595,-2.27679,8.17585,5.08028,7.56056,11.8652,12.1596,-7.48635,-3.79943,-5.83921,3.289022997,0.826241598,15.60804423,
4.50 AM,1,-7.609922242,-2.226886971,5.058547178,-7.83589,-2.65506,5.08028,2.71251,9.28192,10.7663,-10.2156,-7.98432,-0.651195,1.762587145,3.530372546,0.711791167,-1.915421894,6.081708399,5.254867167,-0.794841,8.06572,5.40348,4.50809,11.3289,11.1254,-10.2156,-7.98432,-1.06059,9.767331876,18.33662391,0.881334367,-2.421681885,6.919780335,3.384910216,-2.46113,8.08487,5.08028,7.56056,11.8652,12.1596,-10.2156,-7.98432,-5.83921,6.484148763,11.58439094,14.30303759,-2.421681885,6.919780335,3.384910216,-2.46113,8.08487,5.08028,7.56056,11.8652,12.1596,-10.2156,-7.98432,-5.83921,6.484148763,11.58439094,14.30303759,-2.421681885,6.919780335,3.384910216,-2.46113,8.08487,5.08028,7.56056,11.8652,12.1596,-10.2156,-7.98432,-5.83921,6.484148763,11.58439094,14.30303759,
4.51 AM,1,-7.651284485,-3.259222332,4.541592927,-7.632385,-3.29907,4.97374,-0.993551,-0.591342,6.80882,-11.0129,-16.5528,-10.7639,0.584698932,1.001220546,2.737209953,-3.095602479,3.892731189,5.051755741,-0.888211,7.98432,5.17844,4.50809,9.90678,10.7663,-11.0129,-16.5528,-10.7639,14.73333542,30.46417397,1.111611789,-2.944642145,5.901880068,3.500578487,-2.58323,7.99629,5.04676,7.56056,11.8652,12.1596,-11.0129,-16.5528,-10.7639,8.355590683,19.85116248,13.26686717,-2.944642145,5.901880068,3.500578487,-2.58323,7.99629,5.04676,7.56056,11.8652,12.1596,-11.0129,-16.5528,-10.7639,8.355590683,19.85116248,13.26686717,-2.944642145,5.901880068,3.500578487,-2.58323,7.99629,5.04676,7.56056,11.8652,12.1596,-11.0129,-16.5528,-10.7639,8.355590683,19.85116248,13.26686717,
4.52 AM,1,-0.133825763,-0.998778043,1.889853895,-6.102555,-0.5841605,4.029265,13.6033,7.24933,15.509,-13.3567,-9.75116,-5.97328,75.65911954,4.920290268,11.92347092,-3.097950222,1.984854714,4.45163264,-4.69722,-0.3758735,5.03958,13.6033,9.52612,15.509,-13.3567,-16.5528,-10.7639,29.76349759,28.24573086,5.022862961,-2.628138261,4.961027589,4.096137725,-2.47909,7.638375,5.07788,13.6033,11.8652,15.509,-13.3567,-16.5528,-10.7639,16.57780021,23.58680757,8.628781478,-2.689113383,5.274547513,3.354148978,-2.60837,7.83589,4.9498,13.6033,11.8652,15.509,-13.3567,-16.5528,-10.7639,15.12704279,22.42927181,13.35915624,-2.689113383,5.274547513,3.354148978,-2.60837,7.83589,4.9498,13.6033,11.8652,15.509,-13.3567,-16.5528,-10.7639,15.12704279,22.42927181,13.35915624,
4.53 AM,1,9.6361797,-0.938981368,-1.441438944,9.66378,-1.03664,-1.40055,13.5123,5.06112,1.48434,7.08653,-2.65745,-6.33479,0.15539318,0.554287759,0.421530745,-1.172165093,0.172029587,3.073770565,-4.69722,-1.50469,4.57512,13.6033,9.28192,15.509,-13.3567,-16.5528,-10.7639,56.26651739,19.2033444,9.817204244,-1.35153219,3.991921534,4.212879162,-1.400545,7.32115,5.07549,13.6033,11.3289,15.509,-13.3567,-16.5528,-10.7639,29.82194978,24.70932084,6.843374998,-1.662005626,4.756753439,2.954516652,-2.469515,7.63718,4.7882,13.6033,11.8652,15.509,-13.3567,-16.5528,-10.7639,25.48385911,23.5555742,14.03778675,-1.662005626,4.756753439,2.954516652,-2.469515,7.63718,4.7882,13.6033,11.8652,15.509,-13.3567,-16.5528,-10.7639,25.48385911,23.5555742,14.03778675,
4.54 AM,1,6.172449544,3.469631367,0.957807262,8.836615,1.65552,0.1627985,10.7902,10.4407,13.383,-2.49944,-2.48029,-3.63903,15.95304592,22.08567956,8.636728439,0.082719351,-0.790847469,2.201272464,-4.69722,-1.53462,3.909565,13.6033,10.4407,15.509,-13.3567,-16.5528,-10.7639,68.301341,11.69275866,10.5968767,-0.358742531,3.601355001,3.793897951,-0.790053,7.16075,4.88396,13.6033,11.3289,15.509,-13.3567,-16.5528,-10.7639,35.43849091,25.62865523,8.438139799,-1.059355228,4.657744049,2.800923622,-2.29235,7.5462,4.64216,13.6033,11.8652,15.509,-13.3567,-16.5528,-10.7639,29.10896965,23.5601397,13.90541055,-1.059355228,4.657744049,2.800923622,-2.29235,7.5462,4.64216,13.6033,11.8652,15.509,-13.3567,-16.5528,-10.7639,29.10896965,23.5601397,13.90541055,
4.55 AM,1,9.588732933,0.647703432,0.343581042,9.77989,0.282504,0.243001,12.66,5.71232,4.7858,5.42263,-3.00938,-4.70919,0.413450151,2.938740805,0.811883325,3.522450386,-0.215929389,1.258279236,9.37768,-0.900181,0.3255975,13.6033,10.4407,15.509,-13.3567,-16.5528,-10.7639,62.43727592,11.24534536,8.785058634,0.803514246,2.932889505,3.256573202,-0.201104,0.506352,4.51288,13.6033,11.3289,15.509,-13.3567,-16.5528,-10.7639,43.49491763,24.70604506,8.826375272,-0.298777502,4.371312577,2.625399152,-1.2569,7.39537,4.399155,13.6033,11.8652,15.509,-13.3567,-16.5528,-10.7639,34.57950989,23.15374148,13.37067352,-0.298777502,4.371312577,2.625399152,-1.2569,7.39537,4.399155,13.6033,11.8652,15.509,-13.3567,-16.5528,-10.7639,34.57950989,23.15374148,13.37067352,
4.56 AM,1,9.7931169,-0.234713448,0.235371826,9.79426,-0.163996,0.191528,10.4215,0.428544,1.46519,8.32428,-1.8674,-2.40368,0.012594998,0.081633354,0.129531931,7.011330663,0.388972388,0.397035016,9.67695,-0.244198,0.0646407,13.6033,10.4407,15.509,-13.3567,-9.75116,-6.33479,33.04435106,8.843265942,5.575019579,1.957864092,2.140851789,2.724395379,0.359115,-0.0167587,4.08194,13.6033,10.4407,15.509,-13.3567,-16.5528,-10.7639,49.42636762,22.72280139,8.75992194,0.374015458,4.064244175,2.466063997,-0.967216,7.27806,4.11067,13.6033,11.8652,15.509,-13.3567,-16.5528,-10.7639,38.61215404,22.93567499,12.84335843,0.374015458,4.064244175,2.466063997,-0.967216,7.27806,4.11067,13.6033,11.8652,15.509,-13.3567,-16.5528,-10.7639,38.61215404,22.93567499,12.84335843,
4.57 AM,1,9.696243633,0.544697394,0.353939582,9.77989,0.399814,0.316021,16.1865,4.74271,3.04529,6.39224,-2.14751,-2.34382,0.191081415,1.214081147,0.630101017,8.977344542,0.697667475,0.089852154,9.73919,-0.0406997,0.098158,16.1865,10.4407,13.383,-2.49944,-3.00938,-6.33479,5.316632318,7.626411264,2.776654089,2.93969716,1.341261095,2.270742397,6.492795,-0.0813994,1.55856,16.1865,10.4407,15.509,-13.3567,-16.5528,-10.7639,53.99325086,18.35028381,8.656040778,0.956654719,3.844272501,2.334056221,-0.758929,7.03506,3.95026,16.1865,11.8652,15.509,-13.3567,-16.5528,-10.7639,41.30286463,22.30388843,12.34142064,0.956654719,3.844272501,2.334056221,-0.758929,7.03506,3.95026,16.1865,11.8652,15.509,-13.3567,-16.5528,-10.7639,41.30286463,22.30388843,12.34142064,
